#Coverage (X)	Coverage
1.0	99.99949485382332
2.0	99.99924228073499
3.0	99.99893919302899
4.0	99.99853507608765
5.0	99.99787838605796
6.0	99.99732272526363
7.0	99.99676706446928
8.0	99.99616088905726
9.0	99.99600934520427
10.0	99.99575677211593
11.0	99.9956557428806
12.0	99.9956557428806
13.0	99.9955041990276
14.0	99.99520111132159
15.0	99.99373618740923
16.0	99.99302898276189
17.0	99.9911599419082
18.0	99.98812906484814
19.0	99.98014775525668
20.0	99.95802235271832
21.0	99.917964260908
22.0	99.84865820546821
23.0	99.74944749636926
24.0	99.6003788596325
25.0	99.3348740291722
26.0	98.94126412830713
27.0	98.35701206036497
28.0	97.50922523205152
29.0	96.32521310854328
30.0	94.78047610027151
31.0	92.79863610532297
32.0	90.28992864810255
33.0	87.28819852244743
34.0	83.68736503125592
35.0	79.4271642356507
36.0	74.69010544926438
37.0	69.4252194228705
38.0	63.83860579655237
39.0	57.92061627833554
40.0	51.92574351202879
41.0	45.94627770411062
42.0	40.0866830839174
43.0	34.4686493654101
44.0	29.164462966470907
45.0	24.327789354044313
46.0	19.995958830586588
47.0	16.23736818841951
48.0	13.012717054997779
49.0	10.25391172570562
50.0	7.949889499273851
51.0	6.051651196565004
