#Insert size (bp)	insert size
151.0	1.0
153.0	1.0
154.0	1.0
157.0	1.0
161.0	1.0
164.0	1.0
165.0	1.0
166.0	1.0
169.0	1.0
170.0	3.0
171.0	1.0
172.0	1.0
174.0	1.0
177.0	1.0
178.0	1.0
179.0	1.0
181.0	3.0
182.0	2.0
183.0	4.0
184.0	6.0
185.0	2.0
186.0	9.0
187.0	1.0
188.0	7.0
189.0	3.0
190.0	7.0
191.0	10.0
192.0	6.0
193.0	9.0
194.0	7.0
195.0	10.0
196.0	12.0
197.0	18.0
198.0	18.0
199.0	22.0
200.0	17.0
201.0	24.0
202.0	17.0
203.0	45.0
204.0	31.0
205.0	30.0
206.0	43.0
207.0	23.0
208.0	42.0
209.0	51.0
210.0	54.0
211.0	62.0
212.0	74.0
213.0	69.0
214.0	83.0
215.0	87.0
216.0	89.0
217.0	100.0
218.0	119.0
219.0	135.0
220.0	135.0
221.0	169.0
222.0	168.0
223.0	155.0
224.0	211.0
225.0	213.0
226.0	244.0
227.0	249.0
228.0	305.0
229.0	318.0
230.0	336.0
231.0	350.0
232.0	369.0
233.0	412.0
234.0	446.0
235.0	466.0
236.0	546.0
237.0	496.0
238.0	601.0
239.0	606.0
240.0	608.0
241.0	687.0
242.0	784.0
243.0	826.0
244.0	899.0
245.0	882.0
246.0	955.0
247.0	1062.0
248.0	1066.0
249.0	1156.0
250.0	1239.0
251.0	1253.0
252.0	1400.0
253.0	1436.0
254.0	1472.0
255.0	1598.0
256.0	1615.0
257.0	1756.0
258.0	1846.0
259.0	1850.0
260.0	1977.0
261.0	2108.0
262.0	2156.0
263.0	2260.0
264.0	2292.0
265.0	2422.0
266.0	2481.0
267.0	2629.0
268.0	2716.0
269.0	2652.0
270.0	2969.0
271.0	3038.0
272.0	3116.0
273.0	3130.0
274.0	3405.0
275.0	3441.0
276.0	3457.0
277.0	3499.0
278.0	3614.0
279.0	3816.0
280.0	3777.0
281.0	4002.0
282.0	4046.0
283.0	4082.0
284.0	4145.0
285.0	4237.0
286.0	4358.0
287.0	4336.0
288.0	4508.0
289.0	4499.0
290.0	4653.0
291.0	4530.0
292.0	4453.0
293.0	4670.0
294.0	4611.0
295.0	4748.0
296.0	4708.0
297.0	4663.0
298.0	4647.0
299.0	4722.0
300.0	4587.0
301.0	4578.0
302.0	4604.0
303.0	4626.0
304.0	4694.0
305.0	4764.0
306.0	4660.0
307.0	4434.0
308.0	4510.0
309.0	4387.0
310.0	4454.0
311.0	4310.0
312.0	4363.0
313.0	4246.0
314.0	4303.0
315.0	4103.0
316.0	4158.0
317.0	4016.0
318.0	3883.0
319.0	3720.0
320.0	3768.0
321.0	3566.0
322.0	3642.0
323.0	3461.0
324.0	3359.0
325.0	3232.0
326.0	3104.0
327.0	3278.0
328.0	2986.0
329.0	2896.0
330.0	2866.0
331.0	2668.0
332.0	2587.0
333.0	2607.0
334.0	2303.0
335.0	2341.0
336.0	2292.0
337.0	2122.0
338.0	2073.0
339.0	1928.0
340.0	1964.0
341.0	1875.0
342.0	1682.0
343.0	1704.0
344.0	1585.0
345.0	1491.0
346.0	1415.0
347.0	1337.0
348.0	1333.0
349.0	1179.0
350.0	1105.0
351.0	1048.0
352.0	1001.0
353.0	939.0
354.0	904.0
355.0	842.0
356.0	768.0
357.0	736.0
358.0	781.0
359.0	663.0
360.0	609.0
361.0	595.0
362.0	559.0
363.0	540.0
364.0	439.0
365.0	447.0
366.0	396.0
367.0	335.0
368.0	394.0
369.0	328.0
370.0	321.0
371.0	282.0
372.0	273.0
373.0	238.0
374.0	232.0
375.0	169.0
376.0	198.0
377.0	175.0
378.0	148.0
379.0	137.0
380.0	142.0
381.0	113.0
382.0	115.0
383.0	98.0
384.0	85.0
385.0	73.0
386.0	67.0
387.0	60.0
388.0	65.0
389.0	53.0
390.0	62.0
391.0	47.0
392.0	43.0
393.0	32.0
394.0	39.0
395.0	20.0
396.0	20.0
397.0	26.0
398.0	31.0
399.0	20.0
400.0	22.0
401.0	21.0
402.0	19.0
403.0	14.0
404.0	11.0
405.0	13.0
406.0	12.0
407.0	6.0
408.0	9.0
409.0	8.0
410.0	1.0
411.0	5.0
412.0	2.0
413.0	4.0
414.0	2.0
416.0	2.0
417.0	1.0
419.0	3.0
420.0	1.0
421.0	3.0
422.0	1.0
424.0	2.0
426.0	3.0
427.0	1.0
429.0	1.0
430.0	1.0
431.0	1.0
432.0	1.0
436.0	1.0
440.0	1.0
456.0	1.0
466.0	1.0
469.0	1.0
471.0	1.0
492.0	1.0
