#Coverage	Number of genomic locations
0.0	3.0
1.0	12.0
2.0	10.0
3.0	12.0
4.0	9.0
5.0	4.0
6.0	15.0
7.0	12.0
8.0	4.0
9.0	3.0
10.0	6.0
11.0	5.0
12.0	5.0
13.0	14.0
14.0	49.0
15.0	38.0
16.0	62.0
17.0	130.0
18.0	286.0
19.0	428.0
20.0	629.0
21.0	1138.0
22.0	1797.0
23.0	2889.0
24.0	4893.0
25.0	7343.0
26.0	11228.0
27.0	15620.0
28.0	21792.0
29.0	29604.0
30.0	39082.0
31.0	50092.0
32.0	60999.0
33.0	72004.0
34.0	84634.0
35.0	95541.0
36.0	103901.0
37.0	111458.0
38.0	116806.0
39.0	118186.0
40.0	118465.0
41.0	115077.0
42.0	111114.0
43.0	103985.0
44.0	96453.0
45.0	86284.0
46.0	76701.0
47.0	65316.0
48.0	55662.0
49.0	46271.0
50.0	37482.0
51.0	30129.0
52.0	22471.0
53.0	16831.0
54.0	12886.0
55.0	9857.0
56.0	7223.0
57.0	5498.0
58.0	3691.0
59.0	2612.0
60.0	1693.0
61.0	1150.0
62.0	787.0
63.0	451.0
64.0	268.0
65.0	194.0
66.0	122.0
67.0	100.0
68.0	66.0
69.0	34.0
70.0	7.0
71.0	2.0
