#Mapping quality	mapping quality
1.0	170.0
2.0	100.0
3.0	107.0
4.0	89.0
5.0	11.0
6.0	10.0
7.0	56.0
8.0	111.0
9.0	218.0
10.0	134.0
11.0	209.0
12.0	104.0
13.0	249.0
14.0	412.0
15.0	362.0
16.0	256.0
17.0	357.0
18.0	433.0
19.0	306.0
20.0	368.0
21.0	820.0
22.0	753.0
23.0	1126.0
24.0	956.0
25.0	624.0
26.0	656.0
27.0	992.0
28.0	1003.0
29.0	1297.0
30.0	1216.0
31.0	1180.0
32.0	1210.0
33.0	1497.0
34.0	1584.0
35.0	1746.0
36.0	2234.0
37.0	2346.0
38.0	2666.0
39.0	3902.0
40.0	5914.0
41.0	23080.0
42.0	1918758.0
