#Insert size (bp)	insert size
159.0	1.0
164.0	1.0
165.0	1.0
166.0	2.0
168.0	1.0
169.0	1.0
170.0	2.0
171.0	1.0
173.0	1.0
174.0	2.0
175.0	1.0
176.0	2.0
179.0	2.0
180.0	1.0
182.0	3.0
183.0	4.0
184.0	3.0
185.0	2.0
186.0	3.0
187.0	2.0
188.0	4.0
189.0	3.0
190.0	11.0
191.0	10.0
192.0	6.0
193.0	3.0
194.0	15.0
195.0	18.0
196.0	11.0
197.0	17.0
198.0	9.0
199.0	11.0
200.0	18.0
201.0	17.0
202.0	21.0
203.0	35.0
204.0	27.0
205.0	31.0
206.0	32.0
207.0	35.0
208.0	53.0
209.0	66.0
210.0	49.0
211.0	68.0
212.0	61.0
213.0	72.0
214.0	72.0
215.0	85.0
216.0	105.0
217.0	103.0
218.0	123.0
219.0	123.0
220.0	131.0
221.0	165.0
222.0	173.0
223.0	176.0
224.0	192.0
225.0	227.0
226.0	238.0
227.0	244.0
228.0	288.0
229.0	276.0
230.0	293.0
231.0	351.0
232.0	351.0
233.0	398.0
234.0	452.0
235.0	480.0
236.0	540.0
237.0	557.0
238.0	572.0
239.0	592.0
240.0	666.0
241.0	729.0
242.0	775.0
243.0	832.0
244.0	809.0
245.0	844.0
246.0	991.0
247.0	975.0
248.0	1121.0
249.0	1115.0
250.0	1180.0
251.0	1218.0
252.0	1384.0
253.0	1389.0
254.0	1443.0
255.0	1565.0
256.0	1653.0
257.0	1736.0
258.0	1785.0
259.0	1915.0
260.0	2071.0
261.0	2131.0
262.0	2146.0
263.0	2237.0
264.0	2377.0
265.0	2460.0
266.0	2608.0
267.0	2611.0
268.0	2663.0
269.0	2818.0
270.0	3025.0
271.0	2952.0
272.0	3119.0
273.0	3187.0
274.0	3296.0
275.0	3434.0
276.0	3433.0
277.0	3645.0
278.0	3647.0
279.0	3796.0
280.0	3918.0
281.0	4058.0
282.0	3986.0
283.0	4173.0
284.0	4048.0
285.0	4121.0
286.0	4310.0
287.0	4287.0
288.0	4455.0
289.0	4430.0
290.0	4408.0
291.0	4568.0
292.0	4577.0
293.0	4666.0
294.0	4753.0
295.0	4588.0
296.0	4695.0
297.0	4694.0
298.0	4687.0
299.0	4713.0
300.0	4785.0
301.0	4761.0
302.0	4923.0
303.0	4769.0
304.0	4697.0
305.0	4609.0
306.0	4666.0
307.0	4511.0
308.0	4594.0
309.0	4587.0
310.0	4435.0
311.0	4403.0
312.0	4355.0
313.0	4263.0
314.0	4179.0
315.0	4146.0
316.0	4043.0
317.0	3945.0
318.0	3967.0
319.0	3845.0
320.0	3801.0
321.0	3690.0
322.0	3548.0
323.0	3394.0
324.0	3416.0
325.0	3281.0
326.0	3228.0
327.0	3165.0
328.0	2912.0
329.0	2858.0
330.0	2799.0
331.0	2768.0
332.0	2554.0
333.0	2544.0
334.0	2407.0
335.0	2403.0
336.0	2297.0
337.0	2072.0
338.0	2118.0
339.0	1962.0
340.0	1879.0
341.0	1830.0
342.0	1757.0
343.0	1600.0
344.0	1539.0
345.0	1477.0
346.0	1422.0
347.0	1281.0
348.0	1333.0
349.0	1248.0
350.0	1126.0
351.0	1077.0
352.0	994.0
353.0	975.0
354.0	897.0
355.0	820.0
356.0	804.0
357.0	744.0
358.0	696.0
359.0	633.0
360.0	597.0
361.0	578.0
362.0	517.0
363.0	515.0
364.0	451.0
365.0	431.0
366.0	434.0
367.0	364.0
368.0	346.0
369.0	306.0
370.0	303.0
371.0	271.0
372.0	228.0
373.0	210.0
374.0	204.0
375.0	200.0
376.0	181.0
377.0	173.0
378.0	158.0
379.0	144.0
380.0	117.0
381.0	115.0
382.0	119.0
383.0	88.0
384.0	96.0
385.0	77.0
386.0	82.0
387.0	72.0
388.0	67.0
389.0	52.0
390.0	59.0
391.0	49.0
392.0	35.0
393.0	30.0
394.0	35.0
395.0	30.0
396.0	24.0
397.0	31.0
398.0	20.0
399.0	25.0
400.0	16.0
401.0	17.0
402.0	17.0
403.0	11.0
404.0	12.0
405.0	14.0
406.0	14.0
407.0	10.0
408.0	8.0
409.0	6.0
410.0	10.0
411.0	10.0
412.0	5.0
413.0	6.0
414.0	2.0
415.0	1.0
416.0	7.0
418.0	1.0
419.0	2.0
420.0	2.0
421.0	1.0
422.0	2.0
424.0	2.0
425.0	2.0
426.0	1.0
428.0	1.0
433.0	1.0
435.0	2.0
439.0	2.0
444.0	1.0
446.0	1.0
467.0	1.0
479.0	1.0
