#Mapping quality	mapping quality
1.0	155.0
2.0	30.0
3.0	13.0
4.0	28.0
5.0	17.0
6.0	35.0
7.0	34.0
8.0	38.0
9.0	40.0
10.0	113.0
11.0	173.0
12.0	154.0
13.0	248.0
14.0	210.0
15.0	319.0
16.0	265.0
17.0	299.0
18.0	494.0
19.0	558.0
20.0	566.0
21.0	705.0
22.0	1005.0
23.0	1249.0
24.0	1088.0
25.0	1096.0
26.0	633.0
27.0	688.0
28.0	657.0
29.0	1096.0
30.0	1165.0
31.0	1352.0
32.0	1252.0
33.0	1246.0
34.0	1544.0
35.0	1908.0
36.0	2001.0
37.0	2229.0
38.0	2801.0
39.0	3791.0
40.0	5320.0
41.0	23666.0
42.0	1919341.0
