#Coverage	Number of genomic locations
0.0	8.0
1.0	13.0
2.0	14.0
3.0	5.0
4.0	13.0
5.0	18.0
6.0	22.0
7.0	13.0
8.0	7.0
9.0	2.0
10.0	3.0
11.0	6.0
12.0	8.0
13.0	11.0
14.0	10.0
15.0	5.0
16.0	40.0
17.0	153.0
18.0	238.0
19.0	328.0
20.0	584.0
21.0	1134.0
22.0	1859.0
23.0	2852.0
24.0	4582.0
25.0	7285.0
26.0	10831.0
27.0	15482.0
28.0	21369.0
29.0	28700.0
30.0	36834.0
31.0	47819.0
32.0	59356.0
33.0	72104.0
34.0	84357.0
35.0	95715.0
36.0	106314.0
37.0	113127.0
38.0	117458.0
39.0	119837.0
40.0	119590.0
41.0	117808.0
42.0	111659.0
43.0	103994.0
44.0	94221.0
45.0	85217.0
46.0	75000.0
47.0	65070.0
48.0	55663.0
49.0	46167.0
50.0	37472.0
51.0	30139.0
52.0	23906.0
53.0	18392.0
54.0	14096.0
55.0	10099.0
56.0	7147.0
57.0	5124.0
58.0	3595.0
59.0	2262.0
60.0	1457.0
61.0	1016.0
62.0	622.0
63.0	457.0
64.0	288.0
65.0	213.0
66.0	138.0
67.0	84.0
68.0	56.0
69.0	27.0
70.0	24.0
71.0	37.0
72.0	34.0
73.0	15.0
74.0	9.0
75.0	1.0
76.0	10.0
