#Insert size (bp)	insert size
154.0	1.0
157.0	1.0
160.0	1.0
166.0	1.0
169.0	1.0
170.0	2.0
171.0	1.0
172.0	1.0
173.0	1.0
174.0	1.0
176.0	1.0
179.0	1.0
180.0	3.0
181.0	5.0
182.0	2.0
183.0	2.0
184.0	3.0
186.0	4.0
187.0	3.0
188.0	3.0
189.0	6.0
190.0	8.0
191.0	5.0
192.0	6.0
193.0	11.0
194.0	10.0
195.0	14.0
196.0	11.0
197.0	21.0
198.0	17.0
199.0	13.0
200.0	21.0
201.0	23.0
202.0	16.0
203.0	29.0
204.0	31.0
205.0	41.0
206.0	34.0
207.0	34.0
208.0	42.0
209.0	40.0
210.0	56.0
211.0	66.0
212.0	63.0
213.0	58.0
214.0	104.0
215.0	103.0
216.0	97.0
217.0	107.0
218.0	133.0
219.0	134.0
220.0	153.0
221.0	162.0
222.0	161.0
223.0	152.0
224.0	189.0
225.0	209.0
226.0	233.0
227.0	263.0
228.0	276.0
229.0	288.0
230.0	339.0
231.0	333.0
232.0	387.0
233.0	434.0
234.0	403.0
235.0	460.0
236.0	531.0
237.0	540.0
238.0	584.0
239.0	663.0
240.0	666.0
241.0	734.0
242.0	757.0
243.0	826.0
244.0	847.0
245.0	880.0
246.0	935.0
247.0	1036.0
248.0	1042.0
249.0	1137.0
250.0	1194.0
251.0	1257.0
252.0	1402.0
253.0	1445.0
254.0	1549.0
255.0	1552.0
256.0	1597.0
257.0	1707.0
258.0	1947.0
259.0	1868.0
260.0	1992.0
261.0	2017.0
262.0	2135.0
263.0	2300.0
264.0	2419.0
265.0	2457.0
266.0	2526.0
267.0	2618.0
268.0	2721.0
269.0	2779.0
270.0	2975.0
271.0	3013.0
272.0	3153.0
273.0	3141.0
274.0	3317.0
275.0	3323.0
276.0	3433.0
277.0	3550.0
278.0	3649.0
279.0	3719.0
280.0	3870.0
281.0	3913.0
282.0	3990.0
283.0	4079.0
284.0	4167.0
285.0	4213.0
286.0	4296.0
287.0	4284.0
288.0	4416.0
289.0	4395.0
290.0	4507.0
291.0	4463.0
292.0	4630.0
293.0	4717.0
294.0	4685.0
295.0	4625.0
296.0	4663.0
297.0	4676.0
298.0	4762.0
299.0	4788.0
300.0	4748.0
301.0	4795.0
302.0	4615.0
303.0	4784.0
304.0	4669.0
305.0	4582.0
306.0	4681.0
307.0	4611.0
308.0	4390.0
309.0	4465.0
310.0	4418.0
311.0	4342.0
312.0	4218.0
313.0	4227.0
314.0	4122.0
315.0	4173.0
316.0	3994.0
317.0	4010.0
318.0	3878.0
319.0	3817.0
320.0	3726.0
321.0	3630.0
322.0	3587.0
323.0	3491.0
324.0	3399.0
325.0	3307.0
326.0	3215.0
327.0	3116.0
328.0	2980.0
329.0	2859.0
330.0	2830.0
331.0	2825.0
332.0	2670.0
333.0	2571.0
334.0	2453.0
335.0	2358.0
336.0	2269.0
337.0	2170.0
338.0	2109.0
339.0	1978.0
340.0	1868.0
341.0	1777.0
342.0	1773.0
343.0	1645.0
344.0	1532.0
345.0	1507.0
346.0	1409.0
347.0	1339.0
348.0	1287.0
349.0	1234.0
350.0	1175.0
351.0	1067.0
352.0	1008.0
353.0	964.0
354.0	868.0
355.0	808.0
356.0	868.0
357.0	799.0
358.0	676.0
359.0	685.0
360.0	620.0
361.0	596.0
362.0	541.0
363.0	531.0
364.0	429.0
365.0	393.0
366.0	441.0
367.0	408.0
368.0	360.0
369.0	302.0
370.0	288.0
371.0	266.0
372.0	262.0
373.0	225.0
374.0	243.0
375.0	207.0
376.0	203.0
377.0	184.0
378.0	153.0
379.0	138.0
380.0	141.0
381.0	111.0
382.0	106.0
383.0	92.0
384.0	91.0
385.0	85.0
386.0	70.0
387.0	71.0
388.0	62.0
389.0	53.0
390.0	69.0
391.0	53.0
392.0	41.0
393.0	39.0
394.0	42.0
395.0	29.0
396.0	27.0
397.0	19.0
398.0	12.0
399.0	22.0
400.0	14.0
401.0	17.0
402.0	12.0
403.0	14.0
404.0	8.0
405.0	18.0
406.0	11.0
407.0	8.0
408.0	11.0
409.0	7.0
410.0	3.0
411.0	6.0
412.0	4.0
413.0	2.0
414.0	5.0
415.0	3.0
416.0	2.0
417.0	2.0
418.0	1.0
421.0	2.0
422.0	3.0
423.0	2.0
424.0	1.0
425.0	1.0
428.0	1.0
430.0	1.0
431.0	1.0
438.0	1.0
441.0	1.0
467.0	1.0
484.0	1.0
