#Coverage (X)	Coverage
1.0	99.99984845614699
2.0	99.99924228073499
3.0	99.99878764917598
4.0	99.99838353223464
5.0	99.99737323988128
6.0	99.99676706446928
7.0	99.99631243291027
8.0	99.99611037443961
9.0	99.99560522826293
10.0	99.99515059670392
11.0	99.99494853823325
12.0	99.99429184820357
13.0	99.99388773126223
14.0	99.9937867020269
15.0	99.99353412893856
16.0	99.99302898276189
17.0	99.99050325187851
18.0	99.98646208246511
19.0	99.97610658584328
20.0	99.95751720654164
21.0	99.92281366420409
22.0	99.86588369009282
23.0	99.7642987939635
24.0	99.59871187724949
25.0	99.34310791185199
26.0	98.95490307507735
27.0	98.38752288943613
28.0	97.56676138157479
29.0	96.41800846119845
30.0	94.9029235334975
31.0	92.94795731514807
32.0	90.48304603144535
33.0	87.46853570752036
34.0	83.84628401843784
35.0	79.60159121045652
36.0	74.8673612426596
37.0	69.6775399381196
38.0	64.13815747932057
39.0	58.28432152554145
40.0	52.23049820041674
41.0	46.149599040222256
42.0	40.13093388899412
43.0	34.376460188166945
44.0	29.033074445917777
45.0	24.23145797815242
46.0	19.89700069457598
47.0	16.061577318936656
48.0	12.772115931047537
49.0	10.013815747932043
50.0	7.7773315653217026
51.0	5.914655553450771
