#Coverage	Number of genomic locations
0.0	18.0
1.0	3.0
2.0	12.0
3.0	13.0
4.0	14.0
5.0	8.0
6.0	11.0
7.0	10.0
8.0	3.0
9.0	5.0
10.0	5.0
11.0	10.0
12.0	7.0
13.0	2.0
14.0	10.0
15.0	1.0
16.0	7.0
17.0	23.0
18.0	93.0
19.0	259.0
20.0	487.0
21.0	898.0
22.0	1813.0
23.0	3028.0
24.0	4747.0
25.0	7385.0
26.0	10926.0
27.0	15491.0
28.0	21478.0
29.0	29565.0
30.0	38618.0
31.0	48001.0
32.0	60163.0
33.0	73452.0
34.0	85324.0
35.0	95528.0
36.0	104445.0
37.0	110395.0
38.0	114283.0
39.0	118088.0
40.0	117466.0
41.0	116290.0
42.0	110962.0
43.0	103668.0
44.0	95128.0
45.0	85365.0
46.0	76270.0
47.0	65643.0
48.0	55815.0
49.0	46905.0
50.0	38361.0
51.0	30775.0
52.0	23537.0
53.0	18010.0
54.0	14340.0
55.0	10960.0
56.0	7578.0
57.0	5382.0
58.0	4177.0
59.0	2831.0
60.0	2059.0
61.0	1267.0
62.0	897.0
63.0	527.0
64.0	347.0
65.0	189.0
66.0	89.0
67.0	90.0
68.0	26.0
69.0	22.0
70.0	15.0
71.0	4.0
72.0	1.0
