Module	Section	Sample Name	Source
QualiMap	genome_results	father_trio_4_sorted	/home/mikefokou/progetto/trio_4/qualimap_reports/QC_father_trio_4/genome_results.txt
QualiMap	genome_results	child_trio_4_sorted	/home/mikefokou/progetto/trio_4/qualimap_reports/QC_child_trio_4/genome_results.txt
QualiMap	genome_results	mother_trio_4_sorted	/home/mikefokou/progetto/trio_4/qualimap_reports/QC_mother_trio_4/genome_results.txt
QualiMap	coverage_histogram	QC_father_trio_4	/home/mikefokou/progetto/trio_4/qualimap_reports/QC_father_trio_4/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	QC_child_trio_4	/home/mikefokou/progetto/trio_4/qualimap_reports/QC_child_trio_4/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	QC_mother_trio_4	/home/mikefokou/progetto/trio_4/qualimap_reports/QC_mother_trio_4/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	insert_size_histogram	QC_father_trio_4	/home/mikefokou/progetto/trio_4/qualimap_reports/QC_father_trio_4/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	QC_child_trio_4	/home/mikefokou/progetto/trio_4/qualimap_reports/QC_child_trio_4/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	QC_mother_trio_4	/home/mikefokou/progetto/trio_4/qualimap_reports/QC_mother_trio_4/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	mapped_gc_distribution	QC_father_trio_4	/home/mikefokou/progetto/trio_4/qualimap_reports/QC_father_trio_4/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	QC_child_trio_4	/home/mikefokou/progetto/trio_4/qualimap_reports/QC_child_trio_4/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	QC_mother_trio_4	/home/mikefokou/progetto/trio_4/qualimap_reports/QC_mother_trio_4/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
FastQC	all_sections	HG00421.targets_R1	/home/mikefokou/progetto/trio_4/fastqc_reports/HG00421.targets_R1_fastqc.zip
FastQC	all_sections	HG00422.targets_R2	/home/mikefokou/progetto/trio_4/fastqc_reports/HG00422.targets_R2_fastqc.zip
FastQC	all_sections	HG00423.targets_R1	/home/mikefokou/progetto/trio_4/fastqc_reports/HG00423.targets_R1_fastqc.zip
FastQC	all_sections	HG00423.targets_R2	/home/mikefokou/progetto/trio_4/fastqc_reports/HG00423.targets_R2_fastqc.zip
FastQC	all_sections	HG00421.targets_R2	/home/mikefokou/progetto/trio_4/fastqc_reports/HG00421.targets_R2_fastqc.zip
FastQC	all_sections	HG00422.targets_R1	/home/mikefokou/progetto/trio_4/fastqc_reports/HG00422.targets_R1_fastqc.zip
