#Coverage (X)	Coverage
1.0	99.999696912294
2.0	99.99944433920565
3.0	99.99853507608765
4.0	99.99802992991097
5.0	99.99757529835196
6.0	99.99691860832229
7.0	99.99636294752794
8.0	99.99585780135126
9.0	99.99570625749827
10.0	99.99555471364526
11.0	99.99479699438025
12.0	99.99464545052724
13.0	99.99414030435057
14.0	99.99297846814422
15.0	99.99211971964387
16.0	99.99030119340784
17.0	99.98777546252447
18.0	99.98413841005241
19.0	99.97863231672665
20.0	99.96595314769212
21.0	99.93478562859127
22.0	99.87815874218602
23.0	99.7827871440298
24.0	99.6166950811391
25.0	99.36038391109427
26.0	98.97531098061502
27.0	98.39070531034918
28.0	97.56211403674938
29.0	96.42376712761255
30.0	94.89337627075835
31.0	92.89961482604029
32.0	90.39560522826292
33.0	87.30244364462966
34.0	83.6777672538991
35.0	79.41392940582182
36.0	74.6743954031698
37.0	69.41218665151229
38.0	63.74151670139547
39.0	57.8607059417819
40.0	51.859771421355056
41.0	45.85767506472185
42.0	39.87169287112458
43.0	34.16621834943487
44.0	28.89931173833429
45.0	24.12098250931365
46.0	19.794253962240333
47.0	15.9976763275873
48.0	12.751859569362892
49.0	9.9848708720086
50.0	7.711713076971662
51.0	5.841965018627278
